judul,isi,tanggal,link
Video Pria Menginjak Al-Qur’an di Klub Malam Arab Saudi				,"Lokasi kejadian bukan di Arab Saudi, tetapi Manchester (Inggris).","November 15, 2024",https://turnbackhoax.id/2024/11/15/salah-video-pria-menginjak-al-quran-di-klub-malam-arab-saudi/
Wapres RI Gibran Bagi-Bagi Puluhan Juta Rupiah di TikTok				,Unggahan bukan berasal dari akun resmi bercentang biru milik Gibran Rakabuming.,"November 1, 2024",https://turnbackhoax.id/2024/11/01/penipuan-wapres-ri-gibran-bagi-bagi-puluhan-juta-rupiah-di-tiktok/
Video Demo Tolak Kedatangan Jokowi Pulang Kampung ke Solo				,"Faktanya, video merupakan potongan dokumentasi demo mahasiswa pada Agustus 2024 di depan Gedung DPRD Solo.","Oktober 31, 2024",https://turnbackhoax.id/2024/10/31/salah-video-demo-tolak-kedatangan-jokowi-pulang-kampung-ke-solo/
TribunNews Beritakan “MUI Minta Masyarakat Waspada Sebab Agen Zionis Berkeliaran di Indonesia Menyamar Jadi Habib”				,Judul asli berita adalah “MUI Minta Masyarakat Waspada Sebab Agen Zionis Berkeliaran di Indonesia”.,"Oktober 31, 2024",https://turnbackhoax.id/2024/10/31/salah-tribunnews-beritakan-mui-minta-masyarakat-waspada-sebab-agen-zionis-berkeliaran-di-indonesia-menyamar-jadi-habib/
"Prabowo Tawarkan Bantuan Biaya Sekolah, Modal Usaha, hingga Bayar Utang				",Audio dalam konten yang beredar merupakan hasil rekayasa AI.,"Oktober 31, 2024",https://turnbackhoax.id/2024/10/31/salah-prabowo-tawarkan-bantuan-biaya-sekolah-modal-usaha-hingga-bayar-utang/
Iptu Rudiana Dibekuk karena Melanggar HAM				,Tidak ada bukti tentang Iptu Rudiana mempunyai rekam jejak pelanggaran hukum yang mengharuskannya dipenjara.,"Oktober 31, 2024",https://turnbackhoax.id/2024/10/31/salah-iptu-rudiana-dibekuk-karena-melanggar-ham/
Farmasi ITB: Minuman dan Makanan Panas atau Dingin Pengaruhi Kesehatan Jantung				,Sekolah Farmasi ITB tak pernah merilis pernyataan tersebut. Klaim makanan dan minuman yang dikonsumsi panas atau dingin akan mempengaruhi kesehatan jantung juga keliru.,"Oktober 31, 2024",https://turnbackhoax.id/2024/10/31/salah-farmasi-itb-minuman-dan-makanan-panas-atau-dingin-pengaruhi-kesehatan-jantung/
"200 Kapal China Kumpul di Perairan Dekat Malaysia, Minta Pulau Kalimantan				",Kedatangan ratusan kapal itu merupakan bagian dari agresi maritim yang dilakukan China terkait sengketa Laut China Selatan,"Oktober 31, 2024",https://turnbackhoax.id/2024/10/31/salah-200-kapal-china-kumpul-di-perairan-dekat-malaysia-minta-pulau-kalimantan/
Program Gebyar Undian Miliar Rupiah dari Bank Mandiri				,Unggahan dengan klaim “Program Gebyar Undian Rp10 Miliar dari Bank Mandiri” merupakan merupakan konten tiruan (impostor content).,"Oktober 31, 2024",https://turnbackhoax.id/2024/10/31/penipuan-program-gebyar-undian-miliar-rupiah-dari-bank-mandiri/
"Bantuan Senilai Rp2,4 Juta untuk Pemegang KIS/BPJS				",Warganet diminta mengakses tautan dalam unggahan dan menuliskan nomor telepon yang terhubung dengan Telegram. Instruksi seperti itu merupakan modus penipuan. ,"Oktober 31, 2024",https://turnbackhoax.id/2024/10/31/penipuan-bantuan-senilai-rp24-juta-untuk-pemegang-kis-bpjs/
Salam 3 Jari dari Anies Bentuk Dukungan ke Pramono—Rano				,"Faktanya, belum ada dukungan resmi Anies untuk pasangan manapun di Pilkada Jakarta 2024.","Oktober 30, 2024",https://turnbackhoax.id/2024/10/30/salah-salam-3-jari-dari-anies-bentuk-dukungan-ke-pramono-rano/
Prabowo Bilang “Setujukah Rakyat kalau Putra Putri Anda Ikut Wajib Militer?”				,"Hasil pencarian di Google mengarah ke pemberitaan CNBC Indonesia tahun 2020 berjudul “Tenang, Prabowo Tegaskan tak ada Wajib Militer Buat Warga +62”.","Oktober 30, 2024",https://turnbackhoax.id/2024/10/30/salah-prabowo-bilang-setujukah-rakyat-kalau-putra-putri-anda-ikut-wajib-militer/
Prabowo Ancam Penghujat Pemimpin akan Berurusan dengan Aparatur Negara				,Tidak ada sumber valid yang membenarkan Presiden Prabowo menyampaikan ancaman tersebut.,"Oktober 30, 2024",https://turnbackhoax.id/2024/10/30/salah-prabowo-ancam-penghujat-pemimpin-akan-berurusan-dengan-aparatur-negara/
PKS Mundur dari Koalisi Indonesia Maju (KIM) Plus				,"Faktanya, tidak ditemukan informasi dari sumber kredibel tentang PKS mundur dari KIM Plus.","Oktober 30, 2024",https://turnbackhoax.id/2024/10/30/salah-pks-mundur-dari-koalisi-indonesia-maju-kim-plus/
Menkes Budi Sebut Lockdown Pandemi Selanjutnya Bagian dari Great Reset				,Tidak ada pernyataan Menkes Budi tentang lockdown menjadi bagian dari great reset.,"Oktober 30, 2024",https://turnbackhoax.id/2024/10/30/salah-menkes-budi-sebut-lockdown-pandemi-selanjutnya-bagian-dari-great-reset/
